StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Consent,RESIDENT,ZIPCODE_RESIDENT,ZIPCODE_UNSURE,PROPERTY,OWNERSHIP,OWNERSHIP_OTHER_TEXT,YEARS_RESIDENT,YEARS_UNSURE,PRIORITY_ACSNAT,PRIORITY_ACSEDU,PRIORITY_ACSHLT,PRIORITY_JOBINC,PRIORITY_WAGINC,PRIORITY_TRASH,PRIORITY_CSTLIV,PRIORITY_PEDCYC,PRIORITY_HOUSNG,PRIORITY_JOBDIV,PRIORITY_AIRQTY,PRIORITY_WTRQTY,PRIORITY_RODBRG,PRIORITY_UTILTY,PRIORITY_FLDPRT,PRIORITY_PUBTRN,JUSTICE_DIST.R,JUSTICE_PRO.R,JUSTICE_REC.R,JUSTICE_AGN.R,ATTITUDE_BAYLNK.R,ATTITUDE_BAYIMP,ATTITUDE_BIODIV,ATTITUDE_OPPSAT,ATTNCHECK1,NR_IMPPRT,NR_CONNCT,NR_SPIRIT,NR_NOTICE,NR_VACSPT,NR_AFFECT,ACTIVITY_CMPHIK,ACTIVITY_PADBOT,ACTIVITY_SWIMDV,ACTIVITY_BWATCH,ACTIVITY_GARDEN,ACTIVITY_FISHNG,ACTIVITY_EXRCSO,ACTIVITY_RELAXO,ACTIVITY_PICNIC,ACTIVITY_PLYGND,ACTIVITY_ZOOAQU,ACTIVITY_LSNPRK,ACTIVITY_HSTSIT,ACTIVITY_BEACH,ACTIVITY_PIER,BEHAVIOR_FERTLZ,BEHAVIOR_WATER,BEHAVIOR_CLPPNG,BEHAVIOR_GRNINF,BEHAVIOR_NODRIV,BEHAVIOR_RECYCL,BEHAVIOR_PLNTFF,BEHAVIOR_RESTOR,NORM_FERTLZ,NORM_WATER,NORM_CLPPNG,NORM_GRNINF,NORM_NODRIV,NORM_RECYCL,NORM_PLNTFF,NORM_RESTOR,FERTLZ_SEASON,FISH_LOCATN,FISH_REASON,GROUP_ARTCLT,GROUP_ENVPRT,GROUP_HOANBH,GROUP_POLTCL,GROUP_SPIRIT,GROUP_CHLPAR,GROUP_SPORTS,PIDENTITY_IDENTY,SOLASTALGIA_BELONG,SOLASTALGIA_LOSSES,HOPEPATH_WAYFIX,SOLASTALGIA_ASHAMD,SOLASTALGIA_DISAPR,HOPEPATH_KNOWLG,PIDENTITY_SPCIAL,SOLASTALGIA_UQLOSS,SOLASTALGIA_PEACEQ,ATTNCHECK2,HOPEPATH_CANFIX.R,SOLASTALGIA_DEGRAD,PIDENTITY_ATTCHD,HOPEPATH_RESOLV,SOLASTALGIA_LFSTYL,SOLASTALGIA_FLEAVE,HOPEPATH_ENOUGH.R,ATTITUDE_SAFOUT,ATTITUDE_OUTWEL.R,ATTITUDE_SWMSAF.R,ATTITUDE_CHNGFW,ATTITUDE_CHNGRN,ATTITUDE_CHNGTP,ATTITUDE_CHNGHS,ATTITUDE_CCTHRT,MHI_A1.R,MHI_D1,MHI_D2.R,MHI_A2,MHI_D3.R,LIFESATISFACTION,ECOANXIETY_1,ECOANXIETY_2,ECOANXIETY_3,ECOANXIETY_4,ECOANXIETY_5,ECOANXIETY_6,ECOANXIETY_7,KNOWLEDGE_WQTRND,KNOWLEDGE_WQTRND_C,KNOWLEDGE_NUTRNT,KNOWLEDGE_NUTRNT_C,KNOWLEDGE_SOURCE,KNOWLEDGE_SOURCE_C,KNOWLEDGE_FRTSSN,KNOWLEDGE_FRTSSN_C,KNOWLEDGE_SGLOSS,KNOWLEDGE_SGLOSS_C,INFOSOURCES,AGE,GENDER,GENDER_OTHER_TEXT,ETHNICITY,ETHNICITY_OTHER_TEXT,EDUCATION,EMPLOYMENT,HHINCOME,POLITICS,SCORE_RAW
8/30/2024 15:33,8/30/2024 15:49,IP Address,100,944,TRUE,8/30/2024 15:49,R_7rJ10vR3ZSfQlkl,anonymous,EN,1,,0,0,,I agree,Yes,33781,,Single-family home,Own,,20 years or more,,Low priority,Low priority,High priority,Top priority,Top priority,Low priority,Top priority,Low priority,Low priority,Not a priority,Low priority,Low priority,Low priority,Not a priority,Not a priority,Moderate priority,Not true at all,Not true at all,Not true at all,Very true,Not true at all,Very true,Very true,Completely true,A little true,Moderately true,Moderately true,Not true at all,Moderately true,Not true at all,Very true,Never,Never,Never,Never,Never,Never,Never,A few times,Never,A few times,A few times,A few times,A few times,A few times,Never,About once a month,Multiple times per week,About once a week,Never,Never,Multiple times per week,About once a week,Never,Much less than I do,Much less than I do,Much more than I do,A little more than I do,About the same as I do,A little less than I do,Much less than I do,A little more than I do,"Spring (March - May),Fall (October - November),Winter (December - February)",,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Not true at all,Not true at all,A little true,Not true at all,Not true at all,A little true,Very true,Not true at all,A little true,Very true,Not true at all,Very true,Very true,Very true,A little true,Not true at all,Not true at all,Completely true,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Not true at all,Completely true,Some of the time,Some of the time,Some of the time,A good bit of the time,Some of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Improved,2,Phosphorus,7,Stormwater runoff,6,Summer (June - September),10,Increased ocean temperature,4,"Television,Social media,Government websites",35 - 44,Male,,"American Indian or Alaska Native,White or European",,Bachelor's degree,Full-time,"$100,000 or more",Moderately liberal,3
8/30/2024 16:20,8/30/2024 16:37,IP Address,100,1061,TRUE,8/30/2024 16:37,R_2WMboDs8G5Rfhox,anonymous,EN,1,,0,0,,I agree,Yes,33619,,Single-family home,Own,,20 years or more,,Top priority,High priority,High priority,Moderate priority,High priority,High priority,Top priority,Moderate priority,Moderate priority,Moderate priority,High priority,High priority,High priority,Top priority,High priority,High priority,Moderately true,A little true,Not true at all,A little true,Not true at all,Completely true,Completely true,A little true,A little true,Completely true,Very true,Moderately true,Completely true,Not true at all,Very true,A few times,A few times,About once a month,About once a week,About once a month,Never,About once a week,A few times,A few times,Never,A few times,A few times,A few times,About once a month,A few times,Never,About once a month,A few times,Never,Never,Multiple times per week,Never,Never,A little more than I do,Much more than I do,Much more than I do,A little more than I do,About the same as I do,Much less than I do,About the same as I do,About the same as I do,,,,"No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Completely true,A little true,A little true,A little true,Not true at all,Moderately true,A little true,Completely true,A little true,Not true at all,Very true,Not true at all,A little true,Completely true,Moderately true,A little true,Completely true,A little true,Moderately true,Not true at all,Not true at all,A little true,A little true,Moderately true,A little true,Completely true,A little of the time,Most of the time,None of the time,A good bit of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,6,Nitrogen,8,Stormwater runoff,5,Summer (June - September),9,"Boat propeller blades,Increased ocean temperature",7,"Television,Social media,Government websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",25 - 34,Female,,Hispanic or Latino/a,,Bachelor's degree,Full-time,"$50,000 - $74,999",Slightly liberal,3.5
9/1/2024 11:00,9/1/2024 11:15,IP Address,100,881,TRUE,9/1/2024 11:15,R_6pJq7VtKjjYCZOv,anonymous,EN,1,,0,0,,I agree,Yes,33542,,Single-family home,Own,,20 years or more,,Top priority,Moderate priority,Moderate priority,Moderate priority,Moderate priority,Top priority,Top priority,Top priority,Not a priority,Not a priority,Moderate priority,Top priority,Top priority,Top priority,Top priority,Low priority,Moderately true,Completely true,Not true at all,Completely true,Not true at all,Moderately true,Completely true,Not true at all,A little true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,About once a week,About once a week,Never,Multiple times per week,Multiple times per week,About once a week,Multiple times per week,Multiple times per week,Multiple times per week,Never,Never,Multiple times per week,About once a month,Never,Never,Never,Never,Never,Never,Multiple times per week,Never,Multiple times per week,A few times,About the same as I do,About the same as I do,About the same as I do,About the same as I do,Much less than I do,Much less than I do,Much less than I do,Much less than I do,,The shoreline or bank of a water body,Fishing for relaxation,"No, not involved","Yes, a little involved","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Very true,Not true at all,Completely true,Completely true,Completely true,Completely true,Completely true,Completely true,Not true at all,Moderately true,Not true at all,Very true,Completely true,Completely true,Completely true,Completely true,All of the time,Some of the time,Some of the time,None of the time,Some of the time,Some of the time,Nearly every day,Several days,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,Declined,10,Carbon,5,Wastewater,5,Summer (June - September),5,Increased ocean temperature,5,Your own observations or experiences,45 - 54,Female,,White or European,,High school diploma or GED,Full-time,"$75,000 - $99,999",Strongly conservative,1
9/1/2024 11:34,9/1/2024 11:48,IP Address,100,798,TRUE,9/1/2024 11:48,R_7uZt6WOljDiZT8J,anonymous,EN,1,,0,0,,I agree,Yes,33619,,Single-family home,Own,,10 - 19 years,,High priority,Top priority,Top priority,High priority,Moderate priority,High priority,Top priority,Moderate priority,Moderate priority,High priority,Top priority,Top priority,High priority,High priority,Top priority,High priority,Not true at all,Moderately true,Not true at all,Not true at all,Not true at all,Completely true,Completely true,Completely true,A little true,Very true,Very true,A little true,Completely true,A little true,Completely true,A few times,A few times,A few times,A few times,About once a month,A few times,Multiple times per week,Multiple times per week,About once a month,A few times,A few times,A few times,A few times,A few times,A few times,A few times,Multiple times per week,About once a month,Never,A few times,About once a week,A few times,Never,About the same as I do,About the same as I do,Much more than I do,About the same as I do,About the same as I do,About the same as I do,A little less than I do,Much less than I do,Spring (March - May),"A fishing pier or boardwalk,A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Watching friends or family fish","Yes, a little involved","No, not involved","Yes, a little involved","Yes, very involved","Yes, a little involved","No, not involved","Yes, a little involved",Completely true,A little true,Completely true,Completely true,Moderately true,Completely true,Moderately true,Completely true,Moderately true,Very true,Very true,Not true at all,Completely true,Completely true,Completely true,A little true,Completely true,Moderately true,Completely true,Not true at all,Not true at all,Not true at all,A little true,Completely true,Very true,Moderately true,Some of the time,A good bit of the time,A little of the time,Some of the time,Some of the time,Most of the time,Several days,Not at all,Several days,Several days,Several days,Several days,Not at all,Declined,10,Carbon,7,Wastewater,7,Summer (June - September),6,"Increased ocean temperature,Microplastics,Nutrient pollution",6,"Radio,Social media,Newspapers or magazines,Government websites,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",25 - 34,Male,,White or European,,Bachelor's degree,Full-time,"$100,000 or more",Moderately conservative,1.5
9/2/2024 12:16,9/2/2024 12:25,IP Address,100,527,TRUE,9/2/2024 12:25,R_7Sp0TmS0kk9Fjru,anonymous,EN,1,,0,0,,I agree,Yes,33605,,Single-family home,Own,,10 - 19 years,,High priority,Top priority,Top priority,Moderate priority,Top priority,High priority,Top priority,High priority,High priority,Moderate priority,Moderate priority,High priority,High priority,Top priority,Top priority,High priority,Moderately true,Moderately true,Moderately true,Moderately true,A little true,Moderately true,Very true,Moderately true,A little true,A little true,A little true,Not true at all,A little true,A little true,Moderately true,A few times,A few times,Never,A few times,About once a month,Never,About once a week,About once a month,A few times,Never,A few times,A few times,A few times,About once a month,About once a month,Never,A few times,A few times,Never,About once a month,Multiple times per week,About once a week,Never,Much more than I do,Much more than I do,Much more than I do,A little more than I do,A little less than I do,A little less than I do,A little less than I do,About the same as I do,,,,"No, not involved","No, not involved","Yes, a little involved","Yes, a little involved","No, not involved","Yes, a little involved","No, not involved",Very true,Completely true,Very true,A little true,Not true at all,Very true,A little true,Completely true,Moderately true,A little true,Very true,Not true at all,Moderately true,Very true,A little true,Very true,Very true,A little true,Moderately true,Not true at all,A little true,A little true,Not true at all,Moderately true,Moderately true,Completely true,Some of the time,Most of the time,A little of the time,Most of the time,None of the time,Most of the time,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Remained about the same,4,Nitrogen,3,Stormwater runoff,3,Summer (June - September),3,"Increased ocean temperature,Nutrient pollution",4,"Television,Newspapers or magazines,Government websites,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers)",25 - 34,Female,,White or European,,Master's degree,"Full-time,Student","$75,000 - $99,999",Strongly liberal,3.5
9/2/2024 14:37,9/2/2024 15:02,IP Address,100,1515,TRUE,9/2/2024 15:02,R_7riI5549Hs6Esxr,anonymous,EN,1,,0,0,,I agree,Yes,34208,,Townhome or duplex,Own,,10 - 19 years,,High priority,High priority,Not a priority,Low priority,Moderate priority,Moderate priority,High priority,Low priority,Not a priority,Moderate priority,Moderate priority,High priority,Low priority,Low priority,Moderate priority,Low priority,Moderately true,A little true,A little true,Moderately true,Not true at all,Completely true,Very true,Moderately true,A little true,Completely true,Moderately true,Moderately true,Very true,Moderately true,Moderately true,About once a week,About once a month,About once a month,A few times,About once a month,About once a month,About once a week,About once a week,About once a month,Never,About once a month,A few times,A few times,A few times,A few times,Never,About once a week,Never,Never,A few times,Never,A few times,Never,Much more than I do,Much more than I do,Much more than I do,A little more than I do,Much less than I do,A little more than I do,A little more than I do,About the same as I do,,"A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Fishing for my own food","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","Yes, a little involved","No, not involved",Moderately true,Moderately true,Completely true,Moderately true,Moderately true,Very true,A little true,Very true,Very true,Completely true,Very true,Moderately true,Moderately true,Very true,A little true,Moderately true,Very true,Moderately true,Moderately true,Not true at all,Not true at all,A little true,Not true at all,A little true,Moderately true,Moderately true,A little of the time,Most of the time,A little of the time,A good bit of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Improved,5,Nitrogen,8,Industrial discharges into the bay,5,Summer (June - September),7,"Boat propeller blades,Increased ocean temperature,Nutrient pollution",7,"Radio,Social media,Government websites,Word of mouth (friends, family, coworkers),Your own observations or experiences",35 - 44,Female,,White or European,,Associate degree,Full-time,"$25,000 - $49,999",Neutral,4
9/2/2024 18:40,9/2/2024 19:00,IP Address,100,1164,TRUE,9/2/2024 19:00,R_12QZTw4L64TNQkU,anonymous,EN,,,0,0,,I agree,Yes,33712,,Single-family home,Own,,10 - 19 years,,Low priority,Low priority,Low priority,High priority,High priority,Moderate priority,Moderate priority,High priority,Moderate priority,High priority,Moderate priority,Moderate priority,Moderate priority,Low priority,Moderate priority,Low priority,A little true,Moderately true,A little true,Moderately true,Not true at all,Completely true,Completely true,Moderately true,A little true,Completely true,Completely true,Completely true,Completely true,Very true,Completely true,Never,Never,Never,About once a month,Multiple times per week,Never,Multiple times per week,About once a month,A few times,About once a week,A few times,A few times,A few times,A few times,A few times,A few times,About once a week,Never,About once a week,Never,Multiple times per week,Multiple times per week,A few times,Much more than I do,Much more than I do,Much more than I do,Much less than I do,About the same as I do,A little less than I do,Much less than I do,A little less than I do,"Spring (March - May),Fall (October - November),Winter (December - February)",,,"No, not involved","No, not involved","Yes, a little involved","No, not involved","No, not involved","Yes, a little involved","Yes, a little involved",Moderately true,A little true,Moderately true,A little true,A little true,Moderately true,Very true,Very true,Moderately true,A little true,Very true,A little true,Very true,Moderately true,A little true,A little true,Not true at all,A little true,Moderately true,Not true at all,A little true,Not true at all,A little true,A little true,Not true at all,Moderately true,A little of the time,Most of the time,A little of the time,A good bit of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Declined,8,Nitrogen,9,Stormwater runoff,9,Summer (June - September),9,Increased ocean temperature,5,"Television,Newspapers or magazines,Mail or email newsletters,Public meetings,Your own observations or experiences",45 - 54,Female,,Black or African American,,Doctoral degree,Full-time,"$100,000 or more",Moderately liberal,3
9/3/2024 15:55,9/3/2024 16:09,IP Address,100,823,TRUE,9/3/2024 16:09,R_7SBxF9mQMaKKokF,anonymous,EN,1,,0,0,,I agree,Yes,33570,,Single-family home,Own,,20 years or more,,Moderate priority,Moderate priority,High priority,Moderate priority,High priority,Moderate priority,Moderate priority,High priority,Low priority,Moderate priority,Moderate priority,Top priority,Top priority,Moderate priority,Moderate priority,Low priority,Moderately true,Moderately true,A little true,Moderately true,Not true at all,Very true,Moderately true,Moderately true,A little true,Very true,Completely true,Completely true,Completely true,Very true,Very true,A few times,About once a month,A few times,Never,About once a month,A few times,Multiple times per week,About once a week,About once a week,Never,A few times,A few times,A few times,A few times,A few times,A few times,About once a week,Never,Never,Never,About once a week,A few times,Never,About the same as I do,A little less than I do,A little more than I do,A little less than I do,About the same as I do,About the same as I do,A little less than I do,About the same as I do,"Spring (March - May),Fall (October - November)","A boat, kayak, or canoe","Fishing for relaxation,Watching friends or family fish","Yes, a little involved","No, not involved","Yes, very involved","No, not involved","No, not involved","No, not involved","No, not involved",Very true,Not true at all,Moderately true,Not true at all,A little true,Very true,Not true at all,Very true,Moderately true,Moderately true,Very true,Not true at all,A little true,Very true,Very true,A little true,A little true,A little true,Very true,Not true at all,Not true at all,Not true at all,Not true at all,A little true,Not true at all,Completely true,None of the time,Most of the time,None of the time,A good bit of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Declined,7,Nitrogen,7,Stormwater runoff,6,Summer (June - September),5,Increased ocean temperature,6,"Word of mouth (friends, family, coworkers),Your own observations or experiences",55 - 64,Female,,White or European,,Master's degree,Full-time,"$100,000 or more",Slightly liberal,3
9/3/2024 21:10,9/3/2024 21:49,IP Address,100,2340,TRUE,9/3/2024 21:49,R_1psA7hq4zOY6VjK,anonymous,EN,1,,0,0,,I agree,Yes,33605,,Single-family home,Rent,,1 - 4 years,,Moderate priority,High priority,Top priority,Top priority,High priority,High priority,Top priority,Low priority,Top priority,High priority,High priority,High priority,High priority,High priority,Moderate priority,High priority,Moderately true,Moderately true,Moderately true,Moderately true,Not true at all,Very true,Very true,A little true,A little true,Moderately true,Very true,Very true,Very true,A little true,Completely true,Never,A few times,A few times,A few times,A few times,A few times,About once a week,Multiple times per week,About once a month,Multiple times per week,Multiple times per week,Multiple times per week,Multiple times per week,A few times,About once a week,Multiple times per week,Multiple times per week,Multiple times per week,Multiple times per week,Never,Multiple times per week,Never,Never,About the same as I do,About the same as I do,About the same as I do,About the same as I do,Much more than I do,About the same as I do,A little more than I do,A little more than I do,Spring (March - May),"The shoreline or bank of a water body,A fishing pier or boardwalk,A boat, kayak, or canoe","Fishing for fun or sport,Fishing for relaxation,Fishing for my own food,Watching friends or family fish,Socializing with other anglers","No, not involved","No, not involved","No, not involved","No, not involved","No, not involved","Yes, very involved","Yes, very involved",Very true,Moderately true,Completely true,Very true,Moderately true,Very true,Completely true,Completely true,Very true,Completely true,Very true,Not true at all,Very true,Completely true,Completely true,Very true,Completely true,A little true,Not true at all,A little true,Moderately true,Moderately true,Not true at all,Not true at all,Moderately true,Moderately true,All of the time,Most of the time,Some of the time,Some of the time,Some of the time,Some of the time,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Several days,Remained about the same,5,Phosphorus,4,Industrial discharges into the bay,3,Winter (December - February),2,Increased ocean temperature,3,"Television,Radio,Social media,Mail or email newsletters,Word of mouth (friends, family, coworkers)",25 - 34,Female,,White or European,,High school diploma or GED,Part-time,"$25,000 - $49,999",Neutral,0
9/4/2024 12:07,9/4/2024 12:24,IP Address,100,1054,TRUE,9/4/2024 12:24,R_5HdwiRkjHSzPAsy,anonymous,EN,1,,0,0,,I agree,Yes,33615,,Single-family home,Own,,10 - 19 years,,Not a priority,High priority,Low priority,Moderate priority,High priority,Top priority,High priority,Moderate priority,Low priority,Moderate priority,Moderate priority,High priority,High priority,Top priority,Top priority,Moderate priority,Moderately true,Very true,A little true,A little true,Not true at all,Very true,Moderately true,Very true,A little true,Moderately true,Moderately true,Moderately true,Moderately true,Not true at all,A little true,A few times,A few times,Never,A few times,Never,A few times,About once a week,About once a week,About once a month,About once a week,A few times,About once a month,Never,About once a week,A few times,Never,Never,Never,Never,About once a week,Multiple times per week,Never,Never,A little more than I do,A little more than I do,A little more than I do,About the same as I do,A little less than I do,About the same as I do,A little more than I do,About the same as I do,,A fishing pier or boardwalk,Fishing for fun or sport,"No, not involved","Yes, a little involved","No, not involved","No, not involved","Yes, very involved","Yes, very involved","No, not involved",Very true,Not true at all,A little true,A little true,A little true,Very true,A little true,Very true,A little true,Not true at all,Very true,Not true at all,A little true,Very true,Moderately true,Not true at all,Completely true,A little true,Moderately true,Not true at all,A little true,Not true at all,Not true at all,Not true at all,Not true at all,Moderately true,A little of the time,Most of the time,None of the time,A good bit of the time,None of the time,Most of the time,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Declined,3,Nitrogen,1,Stormwater runoff,4,Summer (June - September),6,Increased ocean temperature,4,"Social media,Government websites,Non-governmental organization (NGO) websites,Word of mouth (friends, family, coworkers)",35 - 44,Female,,White or European,,Master's degree,Full-time,"$100,000 or more",Slightly liberal,3
